"ItemCode","RowId","WarehouseCode","InfoCode3","InfoCode5","Length","Width","Height","Unit","BarCodeTP","RowId_WO","BizDocId_WO","DocNo_WO","ItemName","InfoName","InfoName3","InfoName5","IFDName","LocationCode","InfoCode","ReceiptQuantity","ReceiptQuantity9","DeliveryQuantity","DeliveryQuantity9","CloseInventory","CloseInventory9","Color","Id","ParentId","IsGroup","Remark","Remark1","ClassCode","TimeSheet","TimeCount","ReceiptDate","DeliveryDate","ReceiptDate1","DeliveryDate1","ReceiptNo","DeliveryNo","Level","_GroupOrder","_FormatStyleKey"
FB00001,A0200003703055PX,TP20,SPM066,DCM15,1590.00,2050.00,550.00,tấm,"1800001200001449563001",A0200001449563WO,A0200000397943WO,WB2603-0009,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"","",CAM45-30NH40,3.5854,2.0000,1.7927,1.0000,1.7927,1.00,"",79027,79023,0,"","",SX DU,0.00,0.00,2026-06-22 16:27:11.233,2026-06-22 16:27:25.967,2026-06-22 00:00:00.000,2026-06-22 00:00:00.000,XB0048.06/26,XB0048.06/26,0,"",""
FB00001,A0200003703054PX,TP20,SPM066,DCM15,1530.00,2050.00,520.00,tấm,"1800001200001449563002",A0200001449563WO,A0200000397943WO,WB2603-0009,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"","",CAM45-30NH40,3.2620,2.0000,1.6310,1.0000,1.6310,1.00,"",79027,79023,0,"","",SX DU,0.00,0.00,2026-06-22 16:27:11.233,2026-06-22 16:27:25.963,2026-06-22 00:00:00.000,2026-06-22 00:00:00.000,XB0048.06/26,XB0048.06/26,0,"",""
FB00001,A0200003703052PX,TP20,SPM066,DCM15,1850.00,2070.00,740.00,tấm,"1800001200001453647001",A0200001453647WO,A0200000399194WO,WB2603-0029,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"","",CAM45-30NH40,5.6676,2.0000,2.8338,1.0000,2.8338,1.00,"",79027,79023,0,ĐỔ TN,"",SX DU,0.00,0.00,2026-06-22 16:27:11.233,2026-06-22 16:27:25.943,2026-06-22 00:00:00.000,2026-06-22 00:00:00.000,XB0048.06/26,XB0048.06/26,0,"",""
FB00001,A0200003703053PX,TP20,SPM066,DCM15,1550.00,2070.00,600.00,tấm,"1800001200001453648001",A0200001453648WO,A0200000399194WO,WB2603-0029,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"","",CAM45-30NH40,3.8502,2.0000,1.9251,1.0000,1.9251,1.00,"",79027,79023,0,ĐỔ TN,"",SX DU,0.00,0.00,2026-06-22 16:27:11.233,2026-06-22 16:27:25.947,2026-06-22 00:00:00.000,2026-06-22 00:00:00.000,XB0048.06/26,XB0048.06/26,0,"",""
FB00001,A0200003703047PX,TP20,SPM066,DCM15,1600.00,2070.00,610.00,tấm,"1800001200001454754001",A0200001454754WO,A0200000399465WO,WB2603-0035,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"","",CAM45-30NH40,4.0406,2.0000,2.0203,1.0000,2.0203,1.00,"",79027,79023,0,THI NGHIEM,"",SX DU,0.00,0.00,2026-06-22 16:27:11.233,2026-06-22 16:27:25.887,2026-06-22 00:00:00.000,2026-06-22 00:00:00.000,XB0048.06/26,XB0048.06/26,0,"",""
FB00001,A0200003703048PX,TP20,SPM066,DCM15,1570.00,2070.00,530.00,tấm,"1800001200001454754002",A0200001454754WO,A0200000399465WO,WB2603-0035,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"","",CAM45-30NH40,3.4449,2.0000,1.7225,1.0000,1.7224,1.00,"",79027,79023,0,THI NGHIEM,"",SX DU,0.00,0.00,2026-06-22 16:27:11.233,2026-06-22 16:27:25.890,2026-06-22 00:00:00.000,2026-06-22 00:00:00.000,XB0048.06/26,XB0048.06/26,0,"",""
FB00001,A0200003709261PX,TP20,SPM066,DCM15,1970.00,2070.00,530.00,tấm,"1800001200001455419001",A0200001455419WO,A0200000400735WO,WB2604-0001,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"","",CAM45-30NH40,4.3226,2.0000,2.1613,1.0000,2.1613,1.00,"",79027,79023,0,ĐỔ TN,Chai ,"",0.00,1.00,2026-07-15 15:32:37.930,2026-07-15 16:06:57.573,2026-07-15 00:00:00.000,2026-07-15 00:00:00.000,XB0033.07/26,XB0033.07/26,0,"",""
FB00001,A0200003703051PX,TP20,SPM066,DCM15,1970.00,2060.00,480.00,tấm,"1800001200001458389001",A0200001458389WO,A0200000401627WO,WB2604-0019,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"","",CAM45-30NH40,3.8958,2.0000,1.9479,1.0000,1.9479,1.00,"",79027,79023,0,THÍ NGHIỆM- chuyển CAM40-50/ASHT-883.R0--Mousse tấm,"",SX DU,0.00,0.00,2026-06-22 16:27:11.233,2026-06-22 16:27:25.910,2026-06-22 00:00:00.000,2026-06-22 00:00:00.000,XB0048.06/26,XB0048.06/26,0,"",""
FB00001,A0200003703049PX,TP20,SPM066,DCM15,1580.00,2060.00,720.00,tấm,"1800001200001458390001",A0200001458390WO,A0200000401627WO,WB2604-0019,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"","",CAM45-30NH40,4.6870,2.0000,2.3435,1.0000,2.3435,1.00,"",79027,79023,0,THÍ NGHIỆM- chuyển CAM40-50/ASHT-883.R0--Mousse tấm,"",SX DU,0.00,0.00,2026-06-22 16:27:11.233,2026-06-22 16:27:25.903,2026-06-22 00:00:00.000,2026-06-22 00:00:00.000,XB0048.06/26,XB0048.06/26,0,"",""
FB00001,A0200003703050PX,TP20,SPM066,DCM15,1250.00,2060.00,700.00,tấm,"1800001200001458391001",A0200001458391WO,A0200000401627WO,WB2604-0019,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"","",CAM45-30NH40,3.6050,2.0000,1.8025,1.0000,1.8025,1.00,"",79027,79023,0,THÍ NGHIỆM- chuyển CAM40-50,"",SX DU,0.00,0.00,2026-06-22 16:27:11.233,2026-06-22 16:27:25.907,2026-06-22 00:00:00.000,2026-06-22 00:00:00.000,XB0048.06/26,XB0048.06/26,0,"",""
FB00001,A0200003706333PX,TP20,SPM066,DCM15,1990.00,2060.00,830.00,tấm,"1800001200001458933003",A0200001458933WO,A0200000401865WO,WB2604-0029,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"",M7,CAM45-30NH40,3.4025,1.0000,3.4025,1.0000,0.0000,0.00,"",79027,79023,0,ASHT-884.R0--Mousse tấm,"","",0.00,1704.00,2026-04-22 14:53:20.527,2026-07-02 14:37:44.410,2026-05-31 00:00:00.000,2026-06-26 00:00:00.000,TONKHO,XB0055.06/26,0,"",""
FB00002,A0200003709841PX,TP20,SPM061,DCM07,1550.00,2070.00,700.00,tấm,"1800002200001445672001",A0200001445672WO,A0200000396758WO,WB2602-0010,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,2.2460,1.0000,2.2460,1.0000,0.0000,0.00,"",79028,79023,0,LEM MÀU/LEM MÀU,"","",0.00,3791.00,2026-02-09 16:07:35.910,2026-07-17 15:01:50.413,2026-05-31 00:00:00.000,2026-07-17 00:00:00.000,TONKHO,XB0037.07/26,0,"",""
FB00002,A0200003708424PX,TP20,SPM061,DCM07,2080.00,2060.00,800.00,tấm,"1800002200001457692001",A0200001457692WO,A0200000401440WO,WB2604-0017,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.4278,1.0000,3.4278,1.0000,0.0000,0.00,"",79028,79023,0,MINH HẠO-MH-1-1-4-26-Memory,"","",0.00,2115.00,2026-04-14 10:34:33.327,2026-07-11 13:55:40.720,2026-05-31 00:00:00.000,2026-07-10 00:00:00.000,TONKHO,XB0025.07/26,0,"",""
FB00002,A0200003708425PX,TP20,SPM061,DCM07,1990.00,2060.00,800.00,tấm,"1800002200001458935001",A0200001458935WO,A0200000401865WO,WB2604-0029,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.2795,1.0000,3.2795,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-882.R0--Mousse tấm/Tưa k xài đc,"","",0.00,1919.00,2026-04-22 14:53:20.610,2026-07-11 13:55:40.777,2026-05-31 00:00:00.000,2026-07-10 00:00:00.000,TONKHO,XB0025.07/26,0,"",""
FB00002,A0200003706334PX,TP20,SPM061,DCM07,1560.00,2060.00,830.00,tấm,"1800002200001458938002",A0200001458938WO,A0200000401865WO,WB2604-0029,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,2.6673,1.0000,2.6673,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-882.R0--Mousse tấm,"","",0.00,1704.00,2026-04-22 14:53:20.763,2026-07-02 14:37:45.683,2026-05-31 00:00:00.000,2026-06-26 00:00:00.000,TONKHO,XB0055.06/26,0,"",""
